"Time","C1_39.05nM","C2_78.12nM","C3_156.2nM","C4_312.5nM","C5_625nM","C6_1250nM","C7_2500nM","C8_5000nM"
-49.96,-0.0363464,-0.13089,-0.223694,-0.138336,0.0223999,-0.135559,-0.134094,-0.124634
-49.86,-0.0359802,-0.130524,-0.223328,-0.134857,0.0149536,-0.140259,-0.14386,-0.124634
-49.76,-0.0168159,-0.111359,-0.202209,-0.123871,0.0126343,-0.157044,-0.14386,-0.129303
-49.66,-0.0262146,-0.116058,-0.197144,-0.123505,0.0130005,-0.171875,-0.136047,-0.133606
-49.56,-0.0281677,-0.110992,-0.201843,-0.106719,0.00793457,-0.189087,-0.140746,-0.131286
-49.46,-0.0449524,-0.13089,-0.208862,-0.123505,-0.0135498,-0.22229,-0.155579,-0.141052
-49.36,-0.0398865,-0.13559,-0.189331,-0.113739,-0.00378418,-0.241821,-0.147766,-0.131653
-49.26,-0.0422062,-0.125824,-0.174866,-0.103973,0.00598145,-0.25586,-0.133301,-0.1297
-49.16,-0.0480652,-0.125824,-0.170959,-0.103973,-0.00378418,-0.251953,-0.14386,-0.144165
-49.06,-0.0449524,-0.122712,-0.158082,-0.0992749,0.00402832,-0.25354,-0.138002,-0.126588
-48.96,-0.023468,-0.118011,-0.139343,-0.082489,0.0126343,-0.239075,-0.114563,-0.105103
-48.86,-0.023468,-0.111359,-0.149475,-0.0774231,0.0177002,-0.232422,-0.102844,-0.105103
-48.76,-0.0281687,-0.10318,-0.144409,-0.0746765,0.020813,-0.241822,-0.104797,-0.0953369
-48.66,-0.0351868,-0.0953674,-0.141296,-0.0715637,0.0188599,-0.255493,-0.11145,-0.106689
-48.56,-0.0351868,-0.0937812,-0.136597,-0.0699775,0.0235596,-0.244141,-0.111451,-0.102357
-48.46,-0.0351868,-0.108246,-0.136597,-0.0844421,0.0106812,-0.25354,-0.131348,-0.111755
-48.36,-0.0351868,-0.101227,-0.136597,-0.0746765,0.00598145,-0.253906,-0.130981,-0.118774
-48.26,-0.0351883,-0.118011,-0.141296,-0.0727234,0.00598145,-0.273073,-0.157532,-0.116821
-48.16,-0.0449524,-0.118011,-0.158081,-0.082489,-0.00848389,-0.28009,-0.157532,-0.1297
-48.06,-0.0527649,-0.121124,-0.151428,-0.0758357,-0.0186157,-0.291016,-0.160644,-0.132446
-47.96,-0.0527649,-0.116058,-0.156128,-0.0805359,-0.0166626,-0.295717,-0.165344,-0.144165
-47.86,-0.0625305,-0.125822,-0.165894,-0.0852341,-0.0358276,-0.305481,-0.17511,-0.168395
-47.76,-0.0527649,-0.125824,-0.156128,-0.0922546,-0.0428467,-0.295715,-0.17511,-0.165649
-47.66,-0.0527649,-0.116058,-0.156128,-0.082489,-0.0311279,-0.282837,-0.165344,-0.165649
-47.56,-0.0496521,-0.112946,-0.146363,-0.0793767,-0.0327148,-0.270325,-0.171998,-0.162537
-47.46,-0.0449524,-0.111359,-0.146362,-0.0696106,-0.038147,-0.244141,-0.167297,-0.157837
-47.36,-0.051178,-0.119171,-0.154175,-0.0828547,-0.0361938,-0.230469,-0.17041,-0.160949
-47.26,-0.0605774,-0.114105,-0.154175,-0.0727234,-0.0311279,-0.225403,-0.165344,-0.165649
-47.16,-0.0555115,-0.114105,-0.154175,-0.0727234,-0.0291748,-0.225403,-0.165344,-0.165649
-47.06,-0.0691833,-0.110991,-0.151061,-0.0743093,-0.0475464,-0.232056,-0.167296,-0.157836
-46.96,-0.0644836,-0.106293,-0.136597,-0.0766296,-0.0330811,-0.227357,-0.155579,-0.146118
-46.86,-0.0812683,-0.108245,-0.143616,-0.0750417,-0.0350342,-0.234375,-0.162598,-0.153136
-46.76,-0.0597854,-0.108246,-0.126831,-0.0629578,-0.0252686,-0.222292,-0.162231,-0.141418
-46.66,-0.0625305,-0.108246,-0.129944,-0.0727234,-0.038147,-0.239075,-0.157532,-0.139099
-46.56,-0.0672302,-0.108244,-0.149107,-0.0774216,-0.0358276,-0.24884,-0.167296,-0.155882
-46.46,-0.0695496,-0.113312,-0.151428,-0.0797424,-0.0479126,-0.249206,-0.172363,-0.16095
-46.36,-0.0722961,-0.101227,-0.151062,-0.0824891,-0.0506592,-0.232056,-0.157532,-0.160584
-46.26,-0.0578312,-0.0949402,-0.131897,-0.0680237,-0.0408936,-0.212891,-0.141113,-0.141418
-46.16,-0.0555115,-0.0973206,-0.134644,-0.0707703,-0.0408936,-0.215637,-0.14386,-0.144165
-46.06,-0.0691833,-0.110991,-0.136229,-0.0723562,-0.0522461,-0.22229,-0.150512,-0.155517
-45.96,-0.054718,-0.0965271,-0.13855,-0.0649109,-0.0479126,-0.21759,-0.145813,-0.157837
-45.86,-0.0594177,-0.0965271,-0.13855,-0.0582581,-0.0475464,-0.205872,-0.150513,-0.157837
-45.76,-0.0793145,-0.0965271,-0.141663,-0.0727234,-0.0674438,-0.220336,-0.167297,-0.167603
-45.66,-0.0722961,-0.0965271,-0.129944,-0.0610046,-0.0576782,-0.212891,-0.162598,-0.153137
-45.56,-0.0742493,-0.111358,-0.129577,-0.062957,-0.0670776,-0.212891,-0.162597,-0.148071
-45.46,-0.0644836,-0.10318,-0.133484,-0.0578918,-0.0643311,-0.192994,-0.152466,-0.130493
-45.36,-0.078949,-0.108245,-0.128784,-0.0746757,-0.0643311,-0.192993,-0.152466,-0.116821
-45.26,-0.0715026,-0.101593,-0.124084,-0.0649109,-0.0526123,-0.190247,-0.154785,-0.116821
-45.16,-0.0644836,-0.10318,-0.117065,-0.0715637,-0.0639648,-0.180481,-0.144653,-0.126587
-45.06,-0.0742493,-0.0984802,-0.122131,-0.065277,-0.0646973,-0.175781,-0.145019,-0.121887
-44.96,-0.0742493,-0.103546,-0.110413,-0.0629578,-0.0674438,-0.166808,-0.124695,-0.110168
-44.86,-0.0742493,-0.0816971,-0.10498,-0.0598465,-0.0475464,-0.147278,-0.109497,-0.100038
-44.76,-0.0887139,-0.0898743,-0.120178,-0.0582581,-0.057312,-0.151977,-0.104797,-0.100037
-44.66,-0.0843811,-0.0848083,-0.115112,-0.0582581,-0.0498657,-0.147644,-0.104797,-0.0925903
-44.56,-0.0867615,-0.0848094,-0.115113,-0.0461742,-0.0459595,-0.130493,-0.0981456,-0.0789195
-44.46,-0.100433,-0.0895081,-0.121765,-0.0547791,-0.0475464,-0.144164,-0.114197,-0.090271
-44.36,-0.0890808,-0.0965278,-0.1073,-0.0484931,-0.0475464,-0.132813,-0.10675,-0.0805061
-44.26,-0.0840157,-0.0867615,-0.110413,-0.0531921,-0.0479126,-0.130494,-0.10675,-0.0875244
-44.16,-0.0937805,-0.0965271,-0.115112,-0.0484924,-0.0623779,-0.147278,-0.111816,-0.0906372
-44.06,-0.0906677,-0.09848,-0.123718,-0.0547788,-0.0612183,-0.158997,-0.10675,-0.103943
